120|155|100|357.p19 szuflada do szkrzyni tył|TAK|NNNN||P300Z20|||||||
165|165|100|357.p19 szuflada do szkrzyni przód|TAK|NNNN||P300Z20|||||||
277|287|30|357.p23 regał dla lalek drzwi słońce|TAK|NNNN||P350Z20|||||||
278|196|30|357.p23 regał dla lalek przegroda|TAK|NNNN||P350Z20|||||||
280|325|6|357.p1 ławka z szuf łazienka nowa przegroda|TAK|NNNN||P350Z20|||||||
300|361|40|357.p11 konsola drzwi|TAK|NNNN||P350Z20|||||||
305|285|6|357.p1 ławka z szuf łazienka nowa przód 30|TAK|NNNN||P400Z20|||||||
305|275|40|357.p11 konsola konsola bok|TAK|NNNN||P400Z20|||||||
305|275|6|357.p1 ławka z szuf łazienka nowa bok|TAK|NNNN||P400Z20|||||||
315|105|40|357.p16 stolik merlin łącznik 315|TAK|NNNN||P400Z20|||||||
325|285|3|357.p1 ławka z szuf łazienka nowa przód 31,5|TAK|NNNN||P400Z20|||||||
325|165|40|357.p15 krzesełko oparcie|TAK|NNNN||P400Z20|||||||
335|335|10|357.p8 okno owalne okno|TAK|NNNN||P400Z20|||||||
340|362|20|357.p21 kubimo 2drzwi z nerką77 drzwiz nerka|TAK|NNNN||P400Z20|||||||
340|362|20|357.p5 kubimo z drzwi drew aut77 dzwiczki aut |TAK|NNNN||P400Z20|||||||
340|170|20|357.p18 kubimo z 2 szuf z nerką38/38 przód z nerką|TAK|NNNN||P400Z20|||||||
342|50|40|357.p17 dekiel listewka|TAK|NNNN||P400Z20|||||||
350|390|20|357.p21 kubimo 2drzwi z nerką77 bok |TAK|NNNN||P400Z20|||||||
350|390|20|357.p4 kubimo bez ściany tyl77 bok |TAK|NNNN||P400Z20|||||||
350|390|20|357.p18 kubimo z 2 szuf z nerką38/38 bok |TAK|NNNN||P400Z20|||||||
350|390|20|357.p5 kubimo z drzwi drew aut77 bok |TAK|NNNN||P400Z20|||||||
350|390|40|357.p14 skrzynia uśmiech bok|TAK|NNNN||P400Z20|||||||
355|165|200|357.p19 szuflada do szkrzyni bok|TAK|NNNN||P450Z20|||||||
390|390|20|357.p17 dekiel dekiel|TAK|NNNN||P450Z20|||||||
390|390|20|357.p18 kubimo z 2 szuf z nerką38/38 góradół|TAK|NNNN||P450Z20|||||||
390|390|40|357.p14 skrzynia uśmiech bok uśmiech|TAK|NNNN||P450Z20|||||||
425|305|40|357.p26 ławka garderoba bok|TAK|NNNN||P500Z20|||||||
490|55|8|357.p3 element szuflad szuflada przód|TAK|NNNN||P550Z20|||||||
495|435|4|357.p3 element szuflad góradół|TAK|NNNN||P550Z20|||||||
515|105|40|357.p16 stolik merlin łącznik 515|TAK|NNNN||P600Z20|||||||
560|485|5|357.p2 komoda modułowa z szufladami dół|TAK|NNNN||P650Z20|||||||
560|53|5|357.p2 komoda modułowa z szufladami cokół|TAK|NNNN||P650Z20|||||||
605|505|5|357.p2 komoda modułowa z szufladami góra|TAK|NNNN||P700Z20|||||||
605|205|30|357.p2 komoda modułowa z szufladami przód|TAK|NNNN||P700Z20|||||||
665|435|4|357.p3 element szuflad bok|TAK|NNNN||P750Z20|||||||
690|315|10|357.p20 półka do regału leon 69 półka|TAK|NNNN||P750Z20|||||||
720|335|20|357.p11 konsola konsola dół|TAK|NNNN||P800Z20|||||||
760|155|20|357.p26 ławka garderoba łącznik|TAK|NNNN||P850Z20|||||||
780|390|20|357.p21 kubimo 2drzwi z nerką77 góradół|TAK|NNNN||P850Z20|||||||
780|390|20|357.p4 kubimo bez ściany tyl77 góradół|TAK|NNNN||P850Z20|||||||
780|390|20|357.p5 kubimo z drzwi drew aut77 góradół|TAK|NNNN||P850Z20|||||||
788|20|80|357.p26 ławka garderoba prątek|TAK|NNNN||P850Z20|||||||
800|405|68|357.p25 dach dach (blat 480/1100/20= 6 kpl)|TAK|NNNN||P850Z20|||||||
800|255|40|357.p23 regał dla lalek góradół|TAK|NNNN||P850Z20|||||||
800|58|10|357.p23 regał dla lalek cokół|TAK|NNNN||P850Z20|||||||
805|365|20|357.p26 ławka garderoba góra|TAK|NNNN||P900Z20|||||||
805|355|20|357.p11 konsola konsola góra|TAK|NNNN||P900Z20|||||||
805|255|20|357.p23 regał dla lalek dach1|TAK|NNNN||P900Z20|||||||
805|150|20|357.p26 ławka garderoba przód frez|TAK|NNNN||P900Z20|||||||
828|20|102|357.p25 dach drążek|TAK|NNNN||P900Z20|||||||
840|275|80|357.p24 namiot półka2 namiot|TAK|NNNN||P900Z20|||||||
840|185|80|357.p24 namiot półka1 namiot|TAK|NNNN||P900Z20|||||||
840|155|80|357.p24 namiot listwa (2 szt)|TAK|NNNN||P900Z20|||||||
850|555|40|357.p15 krzesełko bok blat (2szt)|TAK|NNNN||P900Z20|||||||
890|60|20|357.p7 łóżko szuflada listwa|TAK|NNNN||P950Z20|||||||
895|105|2|357.p7 łóżko szuflada bok|TAK|NNNN||P950Z20|||||||
930|335|3|357.p1 ławka z szuf łazienka nowa dół|TAK|NNNN||P1000Z20|||||||
960|325|5|357.p10 Regał100/103 z płytą dół 960|TAK|NNNN||P1050Z20|||||||
960|320|10|357.p10 Regał100/103 z płytą półka 960|TAK|NNNN||P1050Z20|||||||
960|21|5|357.p10 Regał100/103 z płytą cokół|TAK|NNNN||P1050Z20|||||||
980|205|20|357.p23 regał dla lalek bok|TAK|NNNN||P1050Z20|||||||
1000|305|20|357.p12 regał azurowy 100 półka 100|TAK|NNNN||P1050Z20|||||||
1005|355|5|357.p10 Regał100/103 z płytą góra 1000|TAK|NNNN||P1100Z20|||||||
1005|325|160|357.p24 namiot bok namiot|TAK|NNNN||P1100Z20|||||||
1009|335|10|357.p10 Regał100/103 z płytą bok 1004 lp|TAK|NNNN||P1100Z20|||||||
1015|355|3|357.p1 ławka z szuf łazienka nowa góra|TAK|NNNN||P1100Z20|||||||
1280|485|10|357.p2 komoda modułowa z szufladami bok|TAK|NNNN||P1350Z20|||||||
1500|305|20|357.p13 regał azurowy 150 półka 150|TAK|NNNN||P1550Z20|||||||
1995|185|1|357.p7 łóżko szuflada przód|TAK|NNNN||P2050Z20|||||||
1995|105|1|357.p7 łóżko szuflada tył |TAK|NNNN||P2050Z20|||||||
