220|25|40|357.p16 stolik merlin listewka2|TAK|NNNN||P300Z25|||||||
250|205|200|357.p9 Deska mała blat|TAK|NNNN||P300Z25|||||||
250|50|68|357.p25 dach dyby |TAK|NNNN||P300Z25|||||||
280|110|20|357.p6 tarka noga|TAK|NNNN||P350Z25|||||||
325|295|40|357.p15 krzesełko siedzisko|TAK|NNNN||P400Z25|||||||
405|305|20|357.p6 tarka blat|TAK|NNNN||P500Z25|||||||
420|25|40|357.p16 stolik merlin listewka|TAK|NNNN||P500Z25|||||||
740|545|20|357.p16 stolik merlin blat|TAK|NNNN||P800Z25|||||||
1800|105|10|357.p12 regał azurowy 100 noga prosta|TAK|NNNN||P1850Z25|||||||
1800|105|10|357.p13 regał azurowy 150 noga prosta|TAK|NNNN||P1850Z25|||||||
1850|105|10|357.p12 regał azurowy 100 noga skośna|TAK|NNNN||P1900Z25|||||||
1850|105|10|357.p13 regał azurowy 150 noga skośna|TAK|NNNN||P1900Z25|||||||
