295|945|3|357.p1 ławka z szuf łazienka nowa płyta|TAK|NNNN||P350Z4|||||||
298|267|9|357.p1 ławka z szuf łazienka nowa szuflada płyta|TAK|NNNN||P350Z4|||||||
314|350|20|357.p18 kubimo z 2 szuf z nerką38/38 szuflada płyta|TAK|NNNN||P400Z4|||||||
353|138|100|357.p19 szuflada do szkrzyni płyta|TAK|NNNN||P450Z4|||||||
360|360|10|357.p18 kubimo z 2 szuf z nerką38/38 płyta|TAK|NNNN||P450Z4|||||||
360|360|20|357.p14 skrzynia uśmiech płyta|TAK|NNNN||P450Z4|||||||
398|459|8|357.p3 element szuflad szuflada płyta|TAK|NNNN||P450Z4|||||||
448|531|30|357.p2 komoda modułowa z szufladami szuflada płyta|TAK|NNNN||P500Z4|||||||
580|1235|5|357.p2 komoda modułowa z szufladami płyta|TAK|NNNN||P650Z4|||||||
729|248|20|357.p26 ławka garderoba płyta|TAK|NNNN||P800Z4|||||||
750|365|10|357.p21 kubimo 2drzwi z nerką77 płyta |TAK|NNNN||P800Z4|||||||
750|365|10|357.p5 kubimo z drzwi drew aut77 płyta |TAK|NNNN||P800Z4|||||||
820|905|10|357.p23 regał dla lalek płyta|TAK|NNNN||P900Z4|||||||
994|975|5|357.p10 Regał100/103 z płytą płyta|TAK|NNNN||P1050Z4|||||||
